Family,Species_number,Species_name,English_name,M_mass,M_mass_N,F_mass,F_mass_N,unsexed_mass,unsexed_mass_N,M_wing,M_wing_N,F_wing,F_wing_N,Unsexed_wing,Unsexed_wing_N,M_tarsus,M_tarsus_N,F_tarsus,F_tarsus_N,Unsexed_tarsus,Unsexed_tarsus_N,M_bill,M_bill_N,F_bill,F_bill_N,Unsexed_bill,Unsexed_bill_N,M_tail,M_tail_N,F_tail,F_tail_N,Unsexed_tail,Unsexed_tail_N,Clutch_size,Egg_mass,Mating_System
136,7233,Criniger barbatus,Bearded Bulbul,44.4,9,40.8,5,NA,NA,103.5,11,96.3,6,NA,NA,23,3,22.4,6,NA,NA,23.3,11,20.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,7234,Criniger chloronotus,Green-backed Bulbul,NA,NA,NA,NA,42.1,2,105,12,101,4,NA,NA,23.3,12,23,4,NA,NA,22.9,12,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,7235,Criniger calurus,Red-tailed Bulbul,28.4,6,28.3,4,NA,NA,90.1,12,84.6,9,NA,NA,20.9,12,21.3,9,NA,NA,20,12,19.1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,NA
136,7236,Criniger olivaceus,Yellow-bearded Bulbul,28.7,8,26.9,2,NA,NA,88.6,7,82.2,6,NA,NA,22.9,7,21.9,6,NA,NA,18.4,7,17.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,7237,Criniger ndussumensis,White-bearded Bulbul,NA,NA,NA,NA,NA,NA,91.2,8,84.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA
136,7269,Neolestes torquatus,Black-collared Bulbul,21.8,4,23.2,5,NA,NA,72.9,17,72.7,12,NA,NA,20.8,6,21,7,NA,NA,15.6,6,14.5,7,NA,NA,64.8,6,61.6,7,NA,NA,2,2.15,NA
137,7271,Hypocolius ampelinus,Grey Hypocolius,48,1,51.3,3,NA,NA,102.1,15,101.3,17,NA,NA,23.9,14,24.3,14,NA,NA,19.9,14,19.7,15,NA,NA,110.5,14,103.7,17,NA,NA,4.12,NA,NA
138,7272,Cisticola erythrops,Red-faced Cisticola,13.6,8,12.9,4,NA,NA,58.7,15,53.2,12,NA,NA,23.5,15,21.7,12,NA,NA,17.3,15,16.3,12,NA,NA,57.1,15,50.9,12,NA,NA,3,1.47,NA
138,7274,Cisticola cantans,Singing Cisticola,NA,NA,NA,NA,11.7,34,54.7,10,49.6,10,NA,NA,20.8,10,20.4,10,NA,NA,16.7,10,15.6,10,NA,NA,47.2,5,43.2,5,NA,NA,2.5,1.4,NA
138,7275,Cisticola lateralis,Whistling Cisticola,20.7,2,12.4,3,NA,NA,66.6,10,53.7,9,NA,NA,23.6,10,20.8,9,NA,NA,16.2,9,14.9,8,NA,NA,56.4,10,44.2,9,NA,NA,2.5,1.51,NA
138,7276,Cisticola anonymus,Chattering Cisticola,15.5,4,12.5,2,NA,NA,61.4,10,53.9,10,NA,NA,22.8,10,21.6,10,NA,NA,16,8,14.9,9,NA,NA,53.6,10,47,10,NA,NA,2.8,1.36,NA
138,7277,Cisticola woosnami,Trilling Cisticola,NA,NA,13.5,2,NA,NA,66.5,10,54.5,10,NA,NA,23,10,21,10,NA,NA,15.3,10,13.9,10,NA,NA,54.2,10,45.2,10,NA,NA,2.5,1.86,NA
138,7278,Cisticola bulliens,Bubbling Cisticola,NA,NA,NA,NA,NA,NA,64.6,14,54.2,5,NA,NA,24.5,13,21.6,5,NA,NA,16.8,14,14.8,5,NA,NA,55,8,46,3,NA,NA,3,1.22,NA
138,7280,Cisticola chubbi,Chubb's Cisticola,17.5,24,14.7,22,NA,NA,62.8,10,57.5,10,NA,NA,25.5,10,24.2,10,NA,NA,16,10,15,10,NA,NA,61.9,10,55.4,10,NA,NA,2.5,1.69,NA
138,7281,Cisticola hunteri,Hunter's Cisticola,16.2,13,14.8,11,NA,NA,61.9,10,58.9,10,NA,NA,25,10,24.4,10,NA,NA,14.9,10,15,10,NA,NA,66.2,10,62.4,10,NA,NA,2.5,1.73,NA
138,7282,Cisticola nigriloris,Black-lored Cisticola,21.8,2,17.7,1,NA,NA,69,10,66.5,10,NA,NA,25.7,12,24.6,12,NA,NA,16,2,16.25,2,NA,NA,72,10,71.4,10,NA,NA,2.6,NA,NA
138,7284,Cisticola aberrans,Lazy Cisticola,15.2,12,13.7,9,NA,NA,56.2,6,50.8,5,NA,NA,20.2,6,19.8,5,NA,NA,14.2,6,14.2,5,NA,NA,54.8,5,50.2,4,NA,NA,3,1.42,NA
138,7285,Cisticola bodessa,Boran Cisticola,21,1,14,1,NA,NA,66.8,10,54,1,NA,NA,24,10,NA,NA,NA,NA,14.7,10,13,1,NA,NA,58.5,10,49,1,NA,NA,4,1.52,NA
138,7286,Cisticola chinianus,Rattling Cisticola,14.7,21,12.2,5,NA,NA,62.1,10,51.9,10,NA,NA,23.3,9,21,10,NA,NA,16.2,10,14.3,10,NA,NA,56.2,12,48.1,8,NA,NA,3.5,1.5,NA
138,7287,Cisticola cinereolus,Ashy Cisticola,15.2,4,19,1,NA,NA,62.8,10,53.3,10,NA,NA,23.1,10,21,10,NA,NA,14.2,10,13.1,10,NA,NA,54.2,10,47.7,10,NA,NA,4,NA,NA
138,7288,Cisticola ruficeps,Red-pate Cisticola,NA,NA,NA,NA,10.2,4,55.9,9,51.6,7,NA,NA,19.7,9,19.3,7,NA,NA,14,9,13.6,7,NA,NA,40.2,5,35.7,4,NA,NA,4,1.18,NA
138,7290,Cisticola dorsti,Dorst's Cisticola,NA,NA,NA,NA,NA,NA,57,3,NA,NA,NA,NA,21.3,3,NA,NA,NA,NA,13.3,3,NA,NA,NA,NA,43,3,NA,NA,NA,NA,NA,NA,NA
138,7291,Cisticola rufilatus,Grey Cisticola,NA,NA,NA,NA,11.3,23,60,34,55,18,NA,NA,20.3,34,19.5,18,NA,NA,14,34,13.4,18,NA,NA,58.3,34,53,18,NA,NA,3,1.4,NA
138,7292,Cisticola subruficapillus,Red-headed Cisticola,12.1,4,9.3,9,NA,NA,55.3,36,49.9,30,NA,NA,19.7,36,17.6,30,NA,NA,12.5,36,12,30,NA,NA,54.5,36,49.5,30,NA,NA,2.8,1.3,NA
138,7293,Cisticola lais,Wailing Cisticola,16,3,11.7,3,NA,NA,63.6,10,54.6,10,NA,NA,21.6,10,19.2,10,NA,NA,14.5,10,13.2,9,NA,NA,47.3,6,NA,NA,NA,NA,3,1.41,NA
138,7296,Cisticola njombe,Churring Cisticola,11,1,NA,NA,NA,NA,57.4,7,53,3,NA,NA,20.3,7,19.7,3,NA,NA,13.4,7,13,3,NA,NA,54.7,8,48.2,4,NA,NA,2.78,1.42,NA
138,7297,Cisticola galactotes,Winding Cisticola,18.4,2,18.5,1,16.2,4,62.3,10,56.7,10,NA,NA,24.8,10,22.2,10,NA,NA,16.7,10,16,10,NA,NA,54.2,10,47.8,10,NA,NA,3.13,1.41,NA
138,7298,Cisticola pipiens,Chirping Cisticola,14.1,5,12.9,6,NA,NA,61.8,44,56.1,32,NA,NA,23.6,44,22.7,32,NA,NA,14.5,44,14.2,32,NA,NA,58.3,44,56.3,32,NA,NA,3.5,1.4,NA
138,7299,Cisticola carruthersi,Carruthers's Cisticola,12,4,12.1,5,NA,NA,57.8,5,55,6,NA,NA,22,5,21.2,6,NA,NA,15,5,15,5,NA,NA,54.8,5,53.2,6,NA,NA,3,NA,NA
138,7300,Cisticola tinniens,Tinkling Cisticola,13.5,2,NA,NA,NA,NA,58.2,6,52,5,NA,NA,19.8,5,19.5,4,NA,NA,13.2,5,12.2,5,NA,NA,56,5,51.4,5,NA,NA,3.3,1.24,NA
138,7302,Cisticola robustus,Stout Cisticola,19.3,5,15.1,2,NA,NA,67.3,10,59.4,10,NA,NA,25.7,10,22.9,10,NA,NA,15.4,10,14.6,10,NA,NA,60.8,5,47.2,5,NA,NA,3,1.84,NA
138,7303,Cisticola aberdare,Aberdare Cisticola,24,1,NA,NA,NA,NA,72.5,10,63.1,10,NA,NA,27.1,10,23.3,10,NA,NA,17.1,9,15.4,10,NA,NA,58.3,9,53.5,10,NA,NA,2,NA,NA
138,7304,Cisticola natalensis,Croaking Cisticola,20.8,7,13,3,NA,NA,68.8,24,58.1,18,NA,NA,26.8,24,24.1,18,NA,NA,16,24,14.1,18,NA,NA,49,6,44,5,NA,NA,2.5,1.85,NA
138,7305,Cisticola fulvicapillus,Piping Cisticola,8.6,26,7.9,16,NA,NA,50.7,108,46.9,48,NA,NA,17.9,108,17.5,48,NA,NA,11.6,108,11.3,48,NA,NA,41,108,37.9,48,NA,NA,3.5,1.03,NA
138,7306,Cisticola angusticauda,Tabora Cisticola,NA,NA,NA,NA,NA,NA,48.1,50,45.4,30,NA,NA,16.2,50,16.5,30,NA,NA,10,50,9.9,30,NA,NA,53,50,47.4,30,NA,NA,3.5,NA,NA
138,7307,Cisticola melanurus,Black-tailed Cisticola,8,1,9.5,1,NA,NA,48.8,5,45.8,6,NA,NA,NA,NA,NA,NA,18,NA,10.5,5,10.8,6,NA,NA,49.4,5,41.8,6,NA,NA,NA,NA,NA
138,7308,Cisticola brachypterus,Siffling Cisticola,7.5,7,7.8,3,NA,NA,49.7,10,44.2,9,NA,NA,17.9,10,18,9,NA,NA,12.1,10,12.1,9,NA,NA,34.3,6,36.2,4,NA,NA,3,1.01,NA
138,7309,Cisticola rufus,Rufous Cisticola,NA,NA,NA,NA,7.6,8,50.2,9,44.7,4,NA,NA,18,9,17.7,4,NA,NA,12.3,9,12,4,NA,NA,33.6,5,33.5,2,NA,NA,NA,1.13,NA
138,7310,Cisticola troglodytes,Foxy Cisticola,NA,NA,NA,NA,NA,NA,47.1,15,44.3,10,NA,NA,16.9,15,17.4,8,NA,NA,11.4,13,11.7,10,NA,NA,31.6,10,32.2,5,NA,NA,NA,NA,NA
138,7311,Cisticola nanus,Tiny Cisticola,NA,NA,5,1,NA,NA,46.8,10,43.4,10,NA,NA,16.9,10,17,10,NA,NA,10.9,10,11.5,10,NA,NA,32.2,10,33.7,10,NA,NA,3.8,0.96,NA
138,7312,Cisticola incanus,Socotra Cisticola,NA,NA,NA,NA,NA,NA,50.3,18,48.4,13,NA,NA,21.8,18,21.1,13,NA,NA,11.4,18,11.6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,7313,Cisticola juncidis,Zitting Cisticola,NA,NA,NA,NA,8.7,18,52,29,48.1,15,NA,NA,19.8,17,18.6,12,NA,NA,12.2,23,12.4,15,NA,NA,40.5,13,39.8,14,NA,NA,3.3,1.09,4
138,7314,Cisticola haesitatus,Island Cisticola,NA,NA,NA,NA,7,6,48.7,3,46,1,NA,NA,18.3,3,18,1,NA,NA,11.7,3,11,1,NA,NA,40.7,3,38,1,NA,NA,NA,NA,NA
138,7316,Cisticola aridulus,Desert Cisticola,8.3,11,10.2,6,NA,NA,52.2,8,47.2,5,NA,NA,18.6,8,18.4,5,NA,NA,11.8,8,12,5,NA,NA,37.4,10,35.3,10,NA,NA,4.5,0.98,NA
138,7317,Cisticola textrix,Tink-tink Cisticola,11.9,5,9,2,NA,NA,53.3,28,48.3,26,NA,NA,20.8,28,19.5,26,NA,NA,11.5,28,11.1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA
138,7318,Cisticola eximius,Black-necked Cisticola,NA,NA,NA,NA,NA,NA,49.9,10,46.1,10,NA,NA,18.6,10,18,10,NA,NA,11.4,10,11.3,10,NA,NA,34.6,10,33.3,10,NA,NA,2.96,1.08,NA
138,7319,Cisticola dambo,Cloud-scraping Cisticola,9.3,9,8.7,4,NA,NA,54.7,37,47.8,28,NA,NA,20.9,37,20,28,NA,NA,11.1,37,10.9,28,NA,NA,43.9,37,37.7,28,NA,NA,2,1.15,NA
138,7320,Cisticola brunnescens,Pectoral-patch Cisticola,NA,NA,NA,NA,NA,NA,55.5,10,49.9,10,NA,NA,20.7,10,19,10,NA,NA,12.2,10,12.3,10,NA,NA,31.2,10,29,9,NA,NA,3,1.3,NA
138,7321,Cisticola ayresii,Wing-snapping Cisticola,7.3,3,NA,NA,6.7,3,48.7,10,45.2,10,NA,NA,19.4,10,18.1,10,NA,NA,11.5,10,10.9,10,NA,NA,25.8,6,26.7,6,NA,NA,3,1.03,NA
138,7322,Cisticola exilis,Golden-headed Cisticola,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,4
138,7323,Scotocerca inquieta,Streaked Scrub-Warbler,NA,NA,NA,NA,7.5,NA,47.3,9,46.6,10,NA,NA,19.7,6,19.6,8,NA,NA,11.1,7,10.9,10,NA,NA,47.6,10,46,9,NA,NA,3.5,1.06,NA
138,7333,Prinia gracilis,Graceful Prinia,7.3,52,7.7,41,NA,NA,45.2,31,43,12,NA,NA,18.3,21,18.2,12,NA,NA,12.2,21,12.3,11,NA,NA,55.8,16,54.6,10,NA,NA,3.8,0.93,NA
138,7338,Prinia subflava,Tawny-flanked Prinia,9,37,8.3,25,NA,NA,51.7,80,49.3,60,NA,NA,NA,NA,NA,NA,20.3,32,13,80,NA,12.9,NA,NA,53,40,54.2,40,NA,NA,3.3,1.07,NA
138,7339,Prinia somalica,Pale Prinia,7.5,1,NA,NA,NA,NA,49.9,14,49.1,10,NA,NA,19.3,14,18.8,10,NA,NA,12,14,12.1,10,NA,NA,57.8,14,58,10,NA,NA,4,0.98,NA
138,7341,Prinia fluviatilis,River Prinia,NA,NA,NA,NA,NA,NA,48.5,12,NA,NA,NA,NA,18.6,12,NA,NA,NA,NA,13,12,NA,NA,NA,NA,48,12,NA,NA,NA,NA,4,NA,NA
138,7342,Prinia flavicans,Black-chested Prinia,9.3,14,8.2,10,NA,NA,53.7,35,51.8,20,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,60,NA,3.5,1.13,NA
138,7343,Prinia maculosa,Karoo Prinia,9.1,9,8.7,4,NA,NA,53,20,50.5,16,NA,NA,21.3,20,20.5,16,NA,NA,11.9,20,12,16,NA,NA,69.8,20,61.8,16,NA,NA,3.5,1.12,NA
138,7344,Prinia molleri,Sao Tome Prinia,8.5,1,9,1,NA,NA,54.5,6,51.5,5,NA,NA,22.5,6,22,5,NA,NA,12.7,6,12.6,5,NA,NA,74,6,66,5,NA,NA,1.5,1.34,NA
138,7345,Prinia leontica,Sierra Leone Prinia,12.4,4,12.2,1,NA,NA,53.6,6,51.7,4,NA,NA,20.7,6,20.1,4,NA,NA,14.1,6,13.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,7346,Prinia leucopogon,White-chinned Prinia,12.3,3,NA,NA,11.7,12,58.4,22,56,22,NA,NA,21.3,22,20.9,22,NA,NA,14.8,22,14.8,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA
138,7347,Prinia bairdii,Banded Prinia,12.2,4,11.5,4,NA,NA,56.8,16,54.4,14,NA,NA,21.9,16,21.1,14,NA,NA,15.4,16,15.4,14,NA,NA,68.9,16,62.2,14,NA,NA,3,1.33,NA
138,7349,Phragmacia substriata,Namaqua Warbler,12.3,3,10.1,4,NA,NA,55.2,8,52,6,NA,NA,20.5,8,20.3,6,NA,NA,12.9,8,11.7,6,NA,NA,68.2,8,62.2,6,NA,NA,3,NA,NA
138,7350,Oreophilais robertsi,Briar Warbler,10.3,23,9.7,19,NA,NA,51.7,28,50.2,36,NA,NA,22.8,28,22.6,36,NA,NA,14.3,28,14.4,36,NA,NA,61.8,28,61.8,36,NA,NA,2.38,NA,NA
138,7351,Heliolais erythroptera,Red-winged Warbler,NA,NA,NA,NA,11.5,12,54.5,22,51.5,16,NA,NA,21.4,22,21,16,NA,NA,14.6,22,14.5,16,NA,NA,58.8,22,53.9,16,NA,NA,2.43,NA,NA
138,7352,Malcorus pectoralis,Rufous-eared Warbler,10.7,9,9.6,4,NA,NA,51.4,22,49.4,15,NA,NA,20.1,22,20,15,NA,NA,11.8,22,11.6,15,NA,NA,74,22,67,15,NA,NA,3.82,NA,NA
138,7353,Drymocichla incana,Red-winged Grey Warbler,10,1,10,1,NA,NA,58.4,10,56.1,6,NA,NA,20.5,10,20.4,6,NA,NA,11.7,10,11.8,6,NA,NA,54,10,52.2,6,NA,NA,NA,NA,NA
138,7354,Urolais epichlora,Green Longtail,11.8,5,10.5,2,NA,NA,53,10,48.7,10,NA,NA,21.5,10,21.4,10,NA,NA,11.5,10,11.4,10,NA,NA,76.4,10,59.4,10,NA,NA,NA,NA,NA
138,7355,Spiloptila clamans,Cricket Longtail,NA,NA,NA,NA,7,3,47.3,10,45.3,10,NA,NA,17.8,10,17.5,10,NA,NA,9.5,10,9.4,10,NA,NA,57,10,49.3,10,NA,NA,3.5,NA,NA
138,7356,Apalis pulchra,Black-collared Apalis,9.1,16,7.7,8,NA,NA,56.8,24,53.3,18,NA,NA,23,24,21.3,18,NA,NA,15.7,24,14.7,18,NA,NA,58,20,53.4,18,NA,NA,2,1.25,NA
138,7357,Apalis ruwenzorii,Collared Apalis,10,16,9.7,11,NA,NA,50.5,11,49,9,NA,NA,19.3,11,19.2,9,NA,NA,15.5,11,14.8,9,NA,NA,44.6,11,40.6,9,NA,NA,2,NA,NA
138,7358,Apalis thoracica,Bar-throated Apalis,11,70,10,60,NA,NA,55.4,60,53.8,40,NA,NA,21.6,60,20.9,40,NA,NA,14.7,60,14.2,40,NA,NA,52.8,60,50.9,40,NA,NA,3,1.34,NA
138,7359,Apalis nigriceps,Black-capped Apalis,8.4,8,8.3,3,NA,NA,47.3,17,46.2,8,NA,NA,16.6,17,16.3,8,NA,NA,11,17,11.1,8,NA,NA,44.3,17,39,8,NA,NA,NA,NA,NA
138,7360,Apalis jacksoni,Black-throated Apalis,8.8,14,8.5,9,NA,NA,54.2,14,50.8,9,NA,NA,17.6,15,17.6,12,NA,NA,12,15,11.9,12,NA,NA,58.1,15,48.5,12,NA,NA,2,NA,NA
138,7361,Apalis chariessa,White-winged Apalis,NA,NA,NA,NA,NA,NA,52.6,5,50.5,2,NA,NA,18.4,5,16,2,NA,NA,12.5,5,11.5,2,NA,NA,77.8,5,60.5,2,NA,NA,2.5,1.05,NA
138,7362,Apalis binotata,Masked Apalis,8.2,8,8.5,1,NA,NA,49,12,46,8,NA,NA,18.2,12,17.6,8,NA,NA,12.5,12,12.6,8,NA,NA,40.5,12,35,8,NA,NA,1.5,1,NA
138,7363,Apalis personata,Black-faced Apalis,11,9,10.9,8,NA,NA,56.1,10,54.3,8,NA,NA,18.6,10,18.1,8,NA,NA,13.2,10,13,8,NA,NA,46,10,42.8,8,NA,NA,NA,NA,NA
138,7364,Apalis flavida,Yellow-breasted Apalis,8.5,22,7.9,14,NA,NA,51,50,48.8,50,NA,NA,NA,NA,NA,NA,19.1,NA,13.7,50,13.5,50,NA,NA,49.3,50,44.7,50,NA,NA,2.5,0.86,NA
138,7366,Apalis ruddi,Rudd's Apalis,9.9,8,9.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,8,46.8,6,NA,NA,2,1.4,NA
138,7367,Apalis sharpii,Sharpe's Apalis,9.1,14,8.3,7,NA,NA,49.1,16,47.5,8,NA,NA,17.3,16,16.9,8,NA,NA,13.5,16,12.9,8,NA,NA,47.5,16,42.6,8,NA,NA,NA,NA,NA
138,7368,Apalis rufogularis,Buff-throated Apalis,NA,NA,NA,NA,NA,NA,47.5,14,45.6,12,NA,NA,16.4,14,15.7,12,NA,NA,12.6,14,12.6,12,NA,NA,48,14,41.1,12,NA,NA,NA,NA,NA
138,7370,Apalis bamendae,Bamenda Apalis,NA,NA,NA,NA,NA,NA,54.5,2,50,2,NA,NA,17,2,17.25,2,NA,NA,13,2,13.75,2,NA,NA,45,2,36.5,2,NA,NA,NA,NA,NA
138,7371,Apalis goslingi,Gosling's Apalis,NA,NA,NA,NA,NA,NA,47.7,3,44.2,4,NA,NA,16.8,3,15.9,4,NA,NA,12.8,3,12.2,4,NA,NA,41.7,3,32.5,4,NA,NA,NA,NA,NA
138,7372,Apalis porphyrolaema,Chestnut-throated Apalis,8.8,7,8,4,NA,NA,53.2,10,52,9,NA,NA,17.6,10,17.7,9,NA,NA,12.5,10,12.5,9,NA,NA,59.8,10,52.4,9,NA,NA,NA,NA,NA
138,7374,Apalis chapini,Chapin's Apalis,NA,NA,NA,NA,8.8,4,51.5,14,50.8,12,NA,NA,17.8,14,18,12,NA,NA,12.9,14,12.5,12,NA,NA,57.3,14,50.6,12,NA,NA,NA,NA,NA
138,7375,Apalis melanocephala,Black-headed Apalis,9,15,8.4,8,NA,NA,49,20,47.5,12,NA,NA,18,20,17.6,12,NA,NA,14.1,20,14,12,NA,NA,61.9,20,49.5,12,NA,NA,2.5,1.13,NA
138,7376,Apalis chirindensis,Chirinda Apalis,8.7,32,8.4,16,NA,NA,50.4,30,48,20,NA,NA,NA,NA,NA,NA,19.1,NA,14.6,30,13.7,20,NA,NA,61.3,30,49.6,20,NA,NA,NA,NA,NA
138,7377,Apalis cinerea,Grey Apalis,NA,NA,NA,NA,NA,NA,56.1,20,53,20,NA,NA,19.2,20,18.5,20,NA,NA,14.3,20,13.4,20,NA,NA,60.3,20,51.6,20,NA,NA,3,1,NA
138,7378,Apalis alticola,Brown-headed Apalis,12.2,9,11.8,4,NA,NA,58.2,34,54.7,30,NA,NA,20.6,34,18.8,30,NA,NA,14.4,34,13.6,30,NA,NA,58.4,34,48.5,30,NA,NA,NA,NA,NA
138,7379,Apalis karamojae,Karamoja Apalis,NA,NA,9,1,NA,NA,NA,NA,NA,NA,49.7,3,NA,NA,NA,NA,17.8,3,NA,NA,NA,NA,16.4,3,NA,NA,NA,NA,45,3,NA,NA,NA
138,7381,Hypergerus atriceps,Oriole Warbler,28,2,NA,NA,28.9,7,84.7,10,79.2,10,NA,NA,28.6,10,28.4,10,NA,NA,20.4,10,20.6,10,NA,NA,93,10,86.2,10,NA,NA,3,2.99,NA
138,7382,Eminia lepida,Grey-capped Warbler,20,3,18.4,4,NA,NA,69.6,10,66.7,10,NA,NA,25.4,10,25.6,10,NA,NA,16.4,10,15.8,10,NA,NA,63.5,10,58,10,NA,NA,2.5,1.77,NA
138,7385,Camaroptera brachyura,Green-backed Camaroptera,NA,NA,NA,NA,10,37,54.6,11,49.8,9,NA,NA,21.5,11,19.5,9,NA,NA,12.4,11,12,9,NA,NA,34.3,11,32,9,NA,NA,2.74,1.13,NA
138,7386,Camaroptera superciliaris,Yellow-browed Camaroptera,9.2,7,8.3,4,NA,NA,48.9,10,46,10,NA,NA,18.4,10,17.3,10,NA,NA,12.9,10,11.9,10,NA,NA,25.7,10,25.8,10,NA,NA,3,NA,NA
138,7387,Camaroptera chloronota,Olive-green Camaroptera,11.5,7,9.8,5,NA,NA,53.6,10,49,9,NA,NA,20,10,18.9,9,NA,NA,11.9,10,11.2,9,NA,NA,22,10,18.6,9,NA,NA,2,1.42,NA
138,7388,Calamonastes simplex,Grey Wren-Warbler,NA,NA,NA,NA,NA,NA,58.2,10,56.8,10,NA,NA,20,10,19.5,10,NA,NA,12.7,10,12.5,10,NA,NA,53,10,53.2,10,NA,NA,3.5,NA,NA
138,7390,Calamonastes fasciolatus,Barred Wren-Warbler,NA,NA,NA,NA,13.1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,7,47.3,3,NA,NA,2.64,NA,NA
138,7391,Euryptila subcinnamomea,Kopje Warbler,NA,NA,NA,NA,11.5,2,52.3,10,52.7,3,NA,NA,19.4,6,18.8,3,NA,NA,11.8,3,12,3,NA,NA,55.8,6,56,3,NA,NA,2.5,1.9,NA
139,7392,Speirops melanocephalus,Cameroon Speirops,NA,NA,NA,NA,10.9,8,62.1,5,62.7,5,NA,NA,21.5,5,20.8,5,NA,NA,15.4,5,14.2,5,NA,NA,42,5,40.1,5,NA,NA,NA,NA,NA
139,7393,Speirops lugubris,Black-capped Speirops,NA,NA,NA,NA,NA,NA,76.4,5,74.25,2,NA,NA,23.2,5,22.5,2,NA,NA,16.4,5,15.75,2,NA,NA,46.5,5,45.8,2,NA,NA,2.5,NA,NA
139,7394,Speirops brunneus,Fernando Po Speirops,NA,NA,NA,NA,16.1,14,NA,NA,NA,NA,65,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,14,NA,NA,NA,NA,52.3,14,NA,NA,NA
139,7395,Speirops leucophoeus,Principe Speirops,NA,NA,NA,NA,NA,NA,71.8,4,69.2,4,NA,NA,20.4,4,20,4,NA,NA,14.5,4,14.2,4,NA,NA,46.1,4,46.7,1,NA,NA,2,NA,NA
139,7396,Zosterops senegalensis,African Yellow White-eye,NA,NA,NA,NA,8.1,17,55.5,10,54.9,10,NA,NA,15.1,10,15.1,10,NA,NA,11.2,10,11.3,10,NA,NA,36.8,10,35.5,10,NA,NA,2.8,1.08,NA
139,7397,Zosterops vaughani,Pemba White-eye,NA,NA,NA,NA,NA,NA,52.3,9,51.8,6,NA,NA,15.5,9,15.6,6,NA,NA,12.9,9,13,6,NA,NA,34.9,9,34.5,6,NA,NA,2,NA,NA
139,7399,Zosterops poliogaster,Broad-ringed White-eye,NA,NA,NA,NA,11,20,61.6,10,60.8,10,NA,NA,18.3,10,18.3,10,NA,NA,13.1,10,12.9,10,NA,NA,47.1,10,46.4,10,NA,NA,2.5,NA,NA
139,7400,Zosterops abyssinicus,White-breasted White-eye,NA,NA,NA,NA,7.8,16,55.6,10,54.9,10,NA,NA,15.6,10,15.3,10,NA,NA,11.2,10,11,10,NA,NA,38.4,10,37.9,10,NA,NA,3,NA,NA
139,7401,Zosterops pallidus,Pale White-eye,10.3,20,11.8,31,11.1,1516,63.2,10,62,10,NA,NA,18,10,17.8,10,NA,NA,13.7,10,13.5,10,NA,NA,47.6,10,46.5,10,NA,NA,2,1.2,NA
139,7404,Zosterops ficedulinus,Principe White-eye,NA,NA,NA,NA,NA,NA,52,1,53.7,3,NA,NA,18,1,18,1,NA,NA,13,1,12.7,3,NA,NA,38,1,38.3,3,NA,NA,4,NA,NA
139,7405,Zosterops griseovirescens,Annobon White-eye,NA,NA,NA,NA,11,2,63,10,60,1,NA,NA,20.2,10,21,1,NA,NA,14.9,10,15,1,NA,NA,49.3,10,49,1,NA,NA,2,1.68,NA
139,7434,Zosterops minor,Black-fronted White-eye,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
139,7441,Zosterops novaeguineae,New Guinea White-eye,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,2
139,7454,Zosterops lateralis,Silvereye,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2
140,7499,Cettia annae,Palau Bush-Warbler,143.6,NA,151.6,NA,133.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA
